A,B,C,D,E,F,G,H,I,J,K
80,86,100,0,100,0,78,44551,1,0,0
76,95,100,0,100,0,98,5952,1,0,0
76,88,100,0,100,0,92,17630,1,0,0
65,85,100,0,100,0,73,54831,1,0,0
77,93,100,0,100,0,98,4121,1,0,0
64,97,100,0,100,0,95,11127,1,0,0
81,84,100,0,100,0,88,25197,1,0,0
80,88,100,0,100,0,58,85255,1,0,0
74,85,100,0,100,0,74,53510,1,0,0
84,98,100,0,100,0,98,4556,1,0,0
80,99,100,0,100,0,98,4725,1,0,0
78,99,100,0,100,0,96,8132,1,0,0
81,84,100,0,100,0,92,17108,1,0,0
84,96,100,0,100,0,90,20990,1,0,0
71,90,100,0,100,0,74,52951,1,0,0
83,90,100,0,100,0,100,0,1,0,0
74,88,100,0,100,0,100,0,1,0,0
83,96,100,0,100,0,97,6852,1,0,0
83,94,100,0,100,0,96,8214,1,0,0
82,86,100,0,100,0,100,0,1,0,0
80,91,100,0,100,0,95,10203,1,0,0
79,84,100,0,100,0,100,0,1,0,0
84,93,100,0,100,0,98,5823,1,0,0
81,84,100,0,100,0,98,5921,1,0,0
83,94,100,0,100,0,97,7750,1,0,0
80,98,100,0,100,0,94,13480,1,0,0
74,88,100,0,100,0,100,0,1,0,0
81,93,100,0,100,0,96,9971,1,0,0
84,84,100,0,100,0,97,6329,1,0,0
81,95,100,0,100,0,89,22919,1,0,0
83,93,100,0,100,0,97,7472,1,0,0
77,93,100,0,100,0,98,4880,1,0,0
78,94,100,0,100,0,97,7257,1,0,0
83,88,100,0,100,0,100,0,1,0,0
83,88,100,0,100,0,98,4572,1,0,0
79,96,100,0,100,0,95,10407,1,0,0
82,99,100,0,100,0,92,16475,1,0,0
83,84,100,0,100,0,96,8123,1,0,0
65,93,100,0,100,0,92,17085,1,0,0
74,86,100,0,100,0,88,25502,1,0,0
84,92,100,0,100,0,100,0,1,0,0
77,93,100,0,100,0,100,0,1,0,0
65,96,100,0,100,0,100,0,1,0,0
76,84,100,0,100,0,100,0,1,0,0
83,87,100,0,100,0,96,9553,1,0,0
84,96,100,0,100,0,87,26950,1,0,0
78,90,100,0,100,0,100,0,1,0,0
83,94,100,0,100,0,96,9076,1,0,0
82,94,100,0,100,0,57,87667,1,0,0
82,90,100,0,100,0,99,3233,1,0,0
